Janeiro;Pluv (mm);;Feveiro;Pluv (mm);;Março;Pluv (mm)
01/01/2018;23,4;;01/02/2018;0;;01/03/2018;0,6
02/01/2018;0;;02/02/2018;0;;02/03/2018;14,6
03/01/2018;1,2;;03/02/2018;0;;03/03/2018;30,8
04/01/2018;19,8;;04/02/2018;0;;04/03/2018;0
05/01/2018;0;;05/02/2018;0;;05/03/2018;7,8
06/01/2018;0;;06/02/2018;0,2;;06/03/2018;0
07/01/2018;15,6;;07/02/2018;0;;07/03/2018;2,6
08/01/2018;26,8;;08/02/2018;0;;08/03/2018;0
09/01/2018;14,4;;09/02/2018;0;;09/03/2018;0,4
10/01/2018;0;;10/02/2018;0;;10/03/2018;0
11/01/2018;2;;11/02/2018;9;;11/03/2018;6,6
12/01/2018;44;;12/02/2018;1;;12/03/2018;0
13/01/2018;0;;13/02/2018;2;;13/03/2018;0
14/01/2018;0,4;;14/02/2018;0;;14/03/2018;0
15/01/2018;3,8;;15/02/2018;0,2;;15/03/2018;10,2
16/01/2018;8,6;;16/02/2018;0,6;;16/03/2018;0
17/01/2018;0,4;;17/02/2018;0;;17/03/2018;2
18/01/2018;1,2;;18/02/2018;0,8;;18/03/2018;0
19/01/2018;0;;19/02/2018;17;;19/03/2018;0
20/01/2018;31,6;;20/02/2018;2;;20/03/2018;0
21/01/2018;5,8;;21/02/2018;4,2;;21/03/2018;15,8
22/01/2018;0;;22/02/2018;0;;22/03/2018;15,8
23/01/2018;1,6;;23/02/2018;5,4;;23/03/2018;0
24/01/2018;15,6;;24/02/2018;0;;24/03/2018;0
25/01/2018;9,8;;25/02/2018;0;;25/03/2018;0
26/01/2018;4;;26/02/2018;0;;26/03/2018;0
27/01/2018;0,6;;27/02/2018;26,6;;27/03/2018;4
28/01/2018;0;;28/02/2018;0,2;;28/03/2018;0
29/01/2018;14,6;;;;;29/03/2018;0
30/01/2018;23,4;;;;;30/03/2018;0
31/01/2018;14,4;;;;;31/03/2018;0,4
